제목,축제 기간,주소,비용,상세 내용
여수밤바다불꽃축제,2024.11.02 ~ 2024.11.02,전라남도 여수시 박람회길 1 (덕충동),무료,"여수시는 365개의 섬과 바다가 보석처럼 빛나고 여수 밤바다와 야경이 있는 빛의 도시이다. 여수불꽃축제는 2012 여수세계박람회 유치를 기원하기 위한 국제박람회기구[BIE] 실사단을 환영하는 행사로 2007년 4월 처음 개최되었다. 이어 2008년부터 2010년까지는 세계불꽃경연대회로 명칭이 변경되었고, 프랑스와 독일, 일본, 포르투갈 등에서 참여하여 각국의 다양한 불꽃으로 여수의 바다를 아름답게 연출하였다.
[행사내용]
1. 메인프로그램 : 개막식, 라이트 드론쇼, 해상 불꽃쇼
2. 부대프로그램 : 공연행사(버스킹, 지역공연팀 무대)"
영덕펀박스레이스,2024.11.02 ~ 2024.11.03,경상북도 영덕군 영덕읍 덕곡길 96,무료,"영덕펀박스레이스는 폐자재를 활용한 자동차로 언덕을 내려오는 무동력 자동차 경주대회입니다. 대회 참가팀은 직접 자동차를 제작하고 영덕펀박스레이스에 참가한다. 대회에서는 각 팀의 인터뷰와 퍼포먼스 그리고 다운힐 레이스가 펼쳐진다. 영덕펀박스레이스는 2023년 국내 최초로 영덕에서 대회가 진행되어 총 12팀이 참가하였다. 첫번째 우승은 포항의 학생들로 구성된 '농부들'팀이 수상하였으며, 영덕에서 출전한 가족팀 '하하네'와 '뚝딱이네'가 각각 2위와 3위를 차지하였다. 올해는 현장 대형 전광판 영상 중계, 인터넷 생중계, 현장 체험 프로그램, 푸드트럭 등 펀박스레이스를 즐기는 방법이 더 확충될 예정이다.
[행사내용]
1. 메인프로그램 : 영덕펀박스레이스 경주대회
2. 부대프로그램 : 체험행사 (키자니아/고카트 체험/RC카 체험), 전시 (경주대회 참여차량 전시)"
예술고시촌 로컬페스티벌,2024.11.02 ~ 2024.11.17,"서울특별시 관악구 호암로22길 51 (신림동) 지하층, 광태소극장",무료,"제 4회 예술고시촌 로컬페스티벌은 관악구 최초 6세 ~ 80대까지 함께하는 축제이다. 11월 2일부터 17일까지 광태소극장에서 진행된다. 총 4개의 프로그램이 각각 다른 요일에 진행되며, 홈페이지 내 구글폼 작성을 통해 프로그램에 참여할 수 있다. 첫 번째 프로그램 '광태소극장 독립영화관'은 11월 2일 토요일 오후 3시에 진행된다. 두 번째 프로그램 '예술인(시니어, 청년 등) 네티워킹'은 11월 7일 목요일 오후 6시에 진행된다. 세 번째 프로그램 '유초등, 중고등 연극 체험&놀이'는 11월 9일 토요일 오전 10시와 오후 12시에 진행된다. 네 번째 프로그램 '연극 <노인만 사는 세상> 토크 : 무대 너머는 11월 17일 일요일 오후 3시에 진행된다.
[행사내용]
대표 프로그램
1. 광태소극장 독립영화관 - 11월 2일 토요일 오후 3시
2. 예술인(시니어, 청년 등) 네티워킹 - 11월 7일 목요일 오후 6시
3. 유초등, 중고등 연극 체험&놀이 - 11월 9일 토요일 오전 10시와 오후 12시
4. 연극 <노인만 사는 세상> 토크 : 무대 너머 - 11월 17일 일요일 오후 3시"
이순신 순국제전,2024.11.02 ~ 2024.11.03,충청남도 아산시 염치읍 백암리 (염치읍 현충사길 126),무료,"영원한 이순신의 도시 아산에서 이순신 순국의 의미를 되새기기 위해 개최하는 이순신 장례 행렬 재연 축제이다. 그리운 우리의 영웅 이순신을 기억하고, 맞이하는 전통 공연과 시민참여형 프로그램으로 구성되어 있다. 이색적인 장례문화축제를 통해 문화 예술 축제의 다양화를 선보인다.
[행사내용]
1. 메인프로그램
- 700명의 시민이 참여하는 이순신 예장 재연 행사로 견전의, 노제의, 천전의와 같은 제례 의식과 진혼무, 시낭송, 태권시범, 대붓퍼포먼스, 선소리독창과 같은 상여멈춤퍼포먼스로 구성되어 있다.

2. 부대 프로그램
- <충무공현충제례악>, <영화로 만나는 이순신>, <뮤지컬'필사즉생' 갈라콘서트>와 같이 이순신을 주제로 한 다양한 부대 프로그램을 통해 이순신의 도시 아산을 보여주고자 한다.

3. 소비자 참여 이벤트
- 체험 프로그램<전통의복체험, 전통매듭만들기, 소원 등 만들기, 미니 만장 만들기>와 같이 이순신 장군의 시대를 체험해 볼 수 있는 전통 체험 프로그램이 준비되어 있다."
제주밭담축제,2024.11.02 ~ 2024.11.03,제주특별자치도 제주시 구좌읍 월정리 1400-14,무료(밭담길 걷기 프로그램 유료),"FAO세계중요농업유산인 제주밭담길을 걸어보고 체험해보는 제8회 제주밭담축제는 월정리 제주밭담테마공원에서 열린다. 올해는 세계중요농업유산 10주년을 맞이하여 빛나는 제주밭담, 그 가치를 알리다 라는 슬로건으로 8개 제주밭담마을들이 모두 참여하며 이 솔로몬의 10주년 기념콘서트를 비롯 다양한 공연, 체험, 전시 프로그램이 열린다.
[행사내용]
1. 개막식
- 11월 2일(토) 오후 2시, 메인무대

2. 특별 콘서트
- 세계중요농업유산등재 10주년 기념 콘서트(이솔로몬)

3. 공연프로그램
- 제주농요보존회와 해녀노래보존회 공연!
- 국민가수 ‘이솔로몬’와 함께하는 특별 콘서트!
- 제주청년 아티스트들의 버스킹 공연

4. 체험프로그램
- 전문해설사와 함께하는 진빌레 밭담길 걷기!
→ 밭담길걷기 동고량(기념품 가방 및 도시락 - 5,000원, 보증금 5,000원 별도/ 보증금은 반납시 돌려줌)
- 이장님과 함께하는 월정플로깅!
- 제주 돌챙이에게 배우는 밭담 쌓기 체험!
- 제주전통떡(빙떡&지름떡) 체험!
- 제4회 어린이 밭담 체험학교
- 해녀불턱, 돗통시 포토존

5. 경연프로그램
- 순금을 잡아라! 제주밭담 골든돌~
- 그림 그리기 대회와 드론사진 공모전!
- 제주 밭담 쌓기 경연(개인전&커플전) - 경품증정!

6. 전시프로그램
- 제주밭담 마을 홍보관(8개 마을)
- 제주돌챙이 전시 홍보관
- 6차산업 홍보관
- 제주밭담 그리기 대회 전시
- 밭담 캐릭터(머들이 가족) 전시

7. 기타 프로그램
월정 부녀회 먹거리 장터
구좌 모모장과 함께하는 플리마켓!"
중구 청소년축제 야호,2024.11.02 ~ 2024.11.02,서울특별시 중구 덕수궁길 15 (서소문동),무료,"2024 중구 청소년축제 야호는 중구 청소년의 다양한 능력과 숨겨진 재능을 발휘할 수 있는 축제의 장이다. 학교, 청소년, 학부모, 청소년센터 동아리 체험부스를 즐길 수 있는 '별별마당', 레이저태그스포츠부터 드론빙고, AI 포토부스를 즐길 수 있는 '놀이마당'이 운영되며, 댄스 및 보컬을 뽐내는 동아리 경연대회 또한 진행된다.
[행사내용]
1. 체험부스 운영 12:00~17:00
(1) 별별마당 : 학교·청소년·학부모·청소년센터 동아리 체험부스 운영
- 청소년 바리스타, 리사이클 키링 만들기 등 청소년 취미공방
- 웹툰 그리기 체험, 페이스페인팅 등 청소년 재능기부 활동
- 청소년 정책 앙케이트 등 청소년 활동 부스
- 게임으로 놀면서 배우는 경제야호
(2) 놀이마당
- 레이저태그스포츠, 드론빙고, AI포토부스 운영

2. 동아리 경연대회 15:30~18:00
- 개막식, 경연(보컬·댄스), 축하공연, 시상"
한국동시축제,2024.11.02 ~ 2024.11.03,전북특별자치도 부안군 부안읍 선은1길 10 석정문학관 및 청구원 일원,무료,"신석정과 이매창이라는 두 시인을 배출한 인문도시 부안에서 동시 연구자와 창작자, 향유자가 함께하는 인문축제이다. 문학인, 어린이, 청소년, 성인, 장애인과 비장애인 등 다양한 계층이 '동심'으로 함께 교류하고 하나되는 축제이다.
[행사내용]
1. 메인프로그램 : 동시 백일장, 가족 창작동시 낭송대회, 학술 세미나
2. 부대프로그램 : 어린이 시인학교, 동시 놀이터, 동시 체험 부스 등
3. 소비자 참여 프로그램 : 어린이 벼룩시장, 푸드트럭 등
4. 기타 내용 : 종이 책을 집접 구매하고 읽을 수 있는 작은 서점과 북카페 운영"
화순운주문화축제,2024.11.02 ~ 2024.11.03,전라남도 화순군 도암면 대초리 19-2 화순 운주사,무료,"1996년 10월에 ‘화순 운주 대축제’라는 명칭으로 시작된 화순 운주 문화 축제는 신비로운 운주사 천불 천탑의 이루지 못한 꿈을 오늘에 재현하고자 시작되었으며 주민참여로 이루어지는 풍물놀이와 운주사 천불천탑의 신비함을 이야기하는 토크콘서트, 운주사를 다룬 문학작품전시, 음악회와 사찰 음식 체험 등의 공연과 체험 행사도 진행된다.
[행사내용]
1. 운주사 타종 이벤트
2. 가을하늘 운주마켓
3. 토크콘서트 ‘화순이야기’
4. 외국인 관광객을 위한 프로그램 (운주사 외국어 해설 탐방)
5. 다양한 체험 프로그램 (공예, 레시피공유, 소방교육 및 응급처치 등)
6. 전시 프로그램
7. 공연 프로그램
8. 행사운영국 (보드게임 + 돗자리 대여 및 의료지원)
9. 걸어다니는 행사안내사
10. 포토존 및 사진인화 이벤트"
강릉페스티벌,2024.11.01 ~ 2024.11.03,강원특별자치도 강릉시 종합운동장길 84 (교동) 강릉아트센터,"부대행사(축제) 무료 (공연관람 10,000원)","""2024 강릉페스티벌""은 강릉시의 세계 100대 관광도시 진입과 사계절 스마트 관광도시를 목표로 지역 랜드마크 조성 등 글로벌 경쟁력을 갖추기 위한 관광거점도시 육성사업의 일환이다. 문화체육관광부, 강원특별자치도, 강릉시가 주최하고 (재)강릉문화재단이 주관하는 2024 강릉페스티벌은 ""강릉은 극장이다""라는 테마로 강릉의 관광문화자원을 활용한 주요 공연 3편과 다양한 부대 프로그램으로 구성되어 있는 공연예술축제다. 본 축제는 11월 1일(금)~3일(일) 3일간 강릉아트센터 및 꿈꾸는 사임당 예술터 일대에서 진행된다.
[행사내용]
1. 메인프로그램 : 미디어퍼포먼스공연 '로스팅 드림즈' , 뮤지컬 '리-매치', 이머시브 연극 '태양의 발견'
2. 부대프로그램 : 나도 바리스타, 다리밟기 체험, 강릉사천하평답교놀이, 우리. 한걸음. 쉼, AR포토존, 컨셉 스토어(하평, 진리마을), 컬러링 카드 체험, 배우들과의 티타임"
광진 생활문화예술축제,2024.11.01 ~ 2024.11.02,서울특별시 광진구 능동로 216 (능동),무료,"""광진 생활문화예술축제""는 지역 예술인들이 함께 모여 소통하고 교류하여 만들어가는 축제이다. 생활 속에서 예술을 즐길 수 있는 다양한 프로그램(공연, 전시, 체험부스 등)을 준비중이다. 구민들이 쉽게 참여할 수 있는 문화예술 활동을 통해 생활문화의 기반을 다지는 기회가 될 것이다.
[행사내용]
1. 개막식 : 오프닝 퍼포먼스, 축하공연 등
2. 메인 프로그램 : 동 자치회관/광진문화예술회관/광진문화원 수강생 발표회 및 전시회, 동별 노래자랑
3. 부대 프로그램 : 공방 예술마켓, 원데이클래스 등
※(사전행사) 공방예술마켓: 2024. 9. 22.(일) 커먼그라운드 / 공방예술마켓, 버스킹 운영"
괴산김장축제,2024.11.01 ~ 2024.11.03,충청북도 괴산군 괴산읍 임꺽정로 113,무료(일부 체험비 부분유료),"괴산만이 갖고 있는 천혜의 자연조건에서 재배한 배추, 청결고추와 전국최고의 명품식재료를 준비하여 번거로운 김장을 편하게 담그는 장을 마련하였다. 유기농농업군 청정자연 괴산에서 자라는 괴산시골절임배추로 맛있고 간편한 김장담그기 체험에서 운반까지 원스톱 김장체험 운영 서비스 제공한다.
[행사내용]
- 원-스톱 김장담그기
- 드라이브스루 김장
- 김장마켓
- 구워먹기 체험존 등"
구미라면 축제,2024.11.01 ~ 2024.11.03,경상북도 구미시 원평동 124-23 구미역 일원,입장료 무료,"구미에서는 국내 유일 도심 속 라면축제가 개최된다. 농심 구미공장에서 생산된 갓 튀긴 라면을 현장판매하여 구입할 수 있다. 또한 다양한 이색라면 요리를 맛볼 수 있다. 그외 라면테마 전시, 체험, 포토존, 무대프로그램, 각종 이벤트 등을 즐길 수 있다.
[행사내용]
1. 메인프로그램 : 이색라면식음존, 스트릿댄스파이터, 라면요리경연대회
2. 부대프로그램 : 라면테마이벤트, 무대프로그램, 체험프로그램
3. 소비자 참여 프로그램 : 갓튀긴라면 구매, 관광홍보관, 라면레크레이션
4. 기타 내용 : 세계라면, 기업홍보관 등"
군산짬뽕페스티벌,2024.11.01 ~ 2024.11.02,전북특별자치도 군산시 장미1길 41 (장미동),무료,"70년 짬뽕역사의 도시, 군산에서 11월 1일부터 2일까지, 2일간 짬뽕페스티벌이 개최된다. 쌀쌀한 늦가을철 얼큰, 화끈, 개운한 국물 베이스인 해물가득한 짬뽕, 고기짬뽕, 삼선짬뽕 등 다양한 짬뽕을 축제장에서 선보인다. 군산 전역의 짬뽕집 투어 이벤트와 일본짬뽕, 태국짬뽕 등 세계 이색 짬뽕도 맛볼 수 있다.
[행사내용]
1. 메인프로그램
- 군산짬뽕맛집운영, 세계이색짬뽕체험, 군산짬뽕 어디까지 가봤니?(군산전역짬뽕집인증이벤트), 짜장짬뽕맛대맛!(음식관련콘테스트)

2. 부대프로그램
- 군산 특산품 기념품 시민플리마켓 운영, 짬뽕빵 등 먹거리 식음료 판매, 짬뽕 페이스페인팅, 짬뽕시식부스 운영

3. 소비자 참여 프로그램
- 어린이짜장면깔끔이먹기, 시민노래자랑, 군산짬뽕1분영상제공모전, 소원홍등만들기, 수타면체험, 세계전통의상체험 등

4. 기타 내용
- 개막식(11.1.19시-21시), 지역문화예술공연, 어린이체류형공간운영, 짬뽕포토존 운영 등"
글로벌 콘텐츠 페스티벌 in 순천,2024.11.01 ~ 2024.11.03,전라남도 순천시 오천동 702-1 오천그린광장,무료,"<글로벌 콘텐츠 페스티벌 in 순천>은 B2C와 B2B가 융복합되어 이루어지는 종합 콘텐츠 축제이다. 슬로건은 올텐가!(All Content Garden)로 모든 콘텐츠가 정원에 모인 행사의 약자이자 창작자들에게 보내는 순천으로 오라는 편지를 사투리를 섞어 표현하였다. 푸른광장으로 뛰어나온 다양한 콘텐츠와 드론쇼, 애니 OST 공연, 싱어롱쇼 등 매일매일 다채로운 행사가 펼쳐져 다양한 즐길거리를 제공한다. 이번 페스티벌을 통해 기업은 비즈니스 마켓을 통해 지역과 상생·성장할 수 있는 PLAY GROUND를, 학생은 애니메이션 어워즈, 업계 인사 강연을 통해 능력을 키우는 기회를, 관람객은 콘텐츠를 통해 새로운 놀거리와 문화를 향유하는 재미를 한 곳에서 만날 수 있다.
[행사내용]
1. 메인프로그램 : (11/1) 개막식&드론쇼, (11/2) 애니메이션 OST 공연, (11/3) 캐치!티니핑 싱어롱쇼
2. 부대프로그램 : 콘텐츠전시(공포의 외인구단, 아기공룡둘리, 월리를 찾아라, 쿠키런) 및 게임체험존, 열기구 체험, 토크콘서트(11/2, 윤태호, 에릭오), 안시 애니메이션 페스티벌 수급작 상영, 엄빠랑 함께하는 영화상영(아기공룡둘리, 스즈메의 문단속, 사랑의 하츄핑), 학생 애니메이션 어워즈&AI 영상 공모전 수상작 상영 등
3. 소비자 참여 프로그램 : 콘텐츠 플리마켓"
낙원 생활문화축제,2024.11.01 ~ 2024.11.02,서울특별시 종로구 삼일대로 428 (낙원동) 생활문화큐브,무료,"서울생활문화센터 낙원의 생활문화 및 생활음악 동아리들을 격려하고, 생활문화의 저변 확대와 발전을 목표로 다양한 공연과 시민 생활문화체험 프로그램 이다.
[행사내용]
1. 메인프로그램 : 어쿠스틱&밴드 공연
- 오라앙상블, 통소리, 모니카그룹, 원더플우쿨앙상블, 취향상점, 라온합창단, 라디오짭짭, 아만테스, 다올, 퓨전캔디, 윤나리, 재지 더 밴드, 밴드꿀풀, 펭귄아파트, 카다보니

2. 체험프로그램
- 살롱파라다이스+(플러스) : 전통공예/실크공예/양모공예/재즈라이브클래스/모루인형만들기/베어브릭페인팅

3. 전시프로그램
- 종로 발달 장애인 평생교육센터 특별 영상전 'WITH-IN'

4. 기타 내용
- 프로그램 2회 이상 참여시 기념품 증정"
대한민국이 한우먹는날,2024.11.01 ~ 2024.11.03,강원특별자치도 춘천시 시청길 11 (옥천동),무료,"11월 1일은 대한민국이 한우먹는날'은 1년 중 한우를 가장 저렴하게 구매할 수 있는 날이다. 2008년 한우의 날 제정 선포문에 따르면, '한우'가 최고, 제일, 으뜸이라는 뜻을 담아 1년중 1자가 세 번 겹친 11월 1일을 한우의 날로 선포했다. 특히 이번 행사는 강원특별자치도의 우수한 한우의 홍보 및 소비 촉진 행사이다. 품질 좋고 맛 좋은 강원한우를 최대 40% 할인된 가격으로 만날 수 있는 특별한 행사로, 참석자들이 행사장에서 쉬고 즐길 수 있는 공간으로 돗자리와 빈백 존이 운영된다. 다양한 먹거리 푸드트럭과 플리마켓이 운영되며 음식을 먹거리를 즐길 수 있는 테이블 존도 운영된다. 각 존은 참석자들의 편의를 위해 파라솔을 이용한 그늘이 형성되어 있다. 매일 오후 2시 한우 버거 무료 증정행사를 진행한다. 행사장 내에 한우 부위 맞추기, 탈 만들기, 한우 비누 만들기 체험 등 참석자들이 지루하지 않고 즐겁게 참여할 수 있는 다양한 체험 프로그램들이 운영된다. 또한 금요일에는 유치원 초청 어린이 뮤지컬과 마술 공연이 진행되며, 지역 대학교 동아리들과 지역 예술인, 지역 외의 실력 있는 공연자들의 공연이 행사 기간 동안 매일 쉬지 않고 진행된다. 공연은 마술, 보컬, 핑거스타일기타, 성악 등 다양한 장르로 구성된다.
[행사내용]
1. 메인프로그램 : 강원특별자치도 한우 홍보 및 판매
2. 부대프로그램 : 한우버거 나눔, 플리마켓, 마술 공연 등
3. 소비자 참여 프로그램 : 한우 비누 만들기 체험, 한우 부위 맞추기, 경품뽑기 등
4. 기타 내용 : 돗자리 빈백존, 테이블 존-휴식공간"
벌교꼬막축제,2024.11.01 ~ 2024.11.03,전라남도 보성군 벌교읍 벌교천1길 19 벌교읍 천변일원,무료,"소설 태백산맥의 무대이자 근대음악이 탄생한 문학기행 1번지 벌교의 역사적 의미를 되새기고 대한민국 수산물 지리적표시 제1호인 벌교의 대표적 특산품 꼬막을 활용한 향토문화축제이다. 벌교읍민회가 주최하는 이 행사는 꼬막까기, 널배타기, 갯벌체험, 꼬막시식 등 꼬막관련 행사 외에도 소설 태백산맥 속의 현장을 체험하며 채동선 선생 추모음악회 등을 함께할 수 있는 벌교만의 향토색 짙은 축제이다.
[행사내용]
1. 공식행사: 농악 길놀이, 개막행사, 폐막행사, 드론라이트쇼 등
2. 무대행사: 꼬막비빔밥 1,000인분 만들기, 열린음악회, 진혼제, 주니어채동선악단공연 등
3. 경연행사: 꼬막노래자랑, 청소년 끼 콘테스트, 바퀴달린 널배타기 대회 등
4. 문화행사: 태백산맥문학관 개관행사, 북콘서트 등
5. 체험행사: 황금꼬막을 찾아라!, 꼬막던지기, 꼬막까기, 무게맞추기, 꼬막경매, 꼬막 음식시식, 꼬막구이터, 꼬막만원뷔페 등
6. 전시행사: 꼬막홍보관, 유네스코벌교꼬막 홍보관, 꼬막캐릭터 포토존 등
7. 부대행사: 지역특산품 직판장, 보성녹차 무료시음, 향토식당, 향우와의만남 등"
사천시농업한마당축제,2024.11.01 ~ 2024.11.03,경상남도 사천시 시청로 77 사천시청  사천시청 노을광장,무료,"제16회 사천시농업한마당축제는 오는 11월 1일부터 3일까지 3일간 사천시청 노을광장 일원에서 개최된다. 지역 특산품으로써 우수 농축산물을 홍보할 수 있는 기회를 마련하고 다채로운 전시, 판매, 시음·시식, 체험행사를 진행하며, 행사장을 찾는 시민들과 관광객들에게 다양한 먹거리, 볼거리, 살거리, 체험거리, 즐길거리 등을 제공하며, 제1회 전국농업인가요제, 추수감사제례, 축산사랑 어린이 그림그리기 대회, 윷놀이 대회 등 전 세대가 즐기고 공감할 수 있는 축제의 장이 펼쳐진다.
[행사내용]
1. 공식행사: 개막식, 추수감사제례, 축하공연, 경품행사
2. 전시행사: 우수 농·축특산물, 농업기자재전시, 농경문화사진전, 관상조류전시, 국화·분재전시, 나비·곤충전시, 마시뜨라홍보관, 수출농산물전시, 아열대채소전시, 농산물가공센터홍보전 등
3. 체험행사: 탈곡작업, 천연염색, 두부만들기, 떡메치기, 전통 가양주, 향토음식, 우리밀 체험, 동물체험 등
4. 먹거리행사: 농특산물 할인, 한우고기, 돼지고기, 단감, 키위와인, 꽃차, 토마토즙, 전통주 등
5. 부대행사: 사천단감한마당(단감길게깎기·쌓기), 버스킹, 읍면동주민자치회 발표회, 소망등 달기 및 터널카페 운영, 축산사랑 어린이 그림 그리기대회, 대형 꽃동산 포토존 등"
생생우리음악축제,2024.11.01 ~ 2024.11.03,경기도 화성시 봉담읍 상리 22-10,무료,"올해 7회차를 맞이한 ""생생우리음악축제""는 화성시 봉담 내 생활문화권에서 펼쳐지는 축제로, 생음악 중심의 언플러그드 공연을 지향하는 우리음악 기반 지역축제이다. 2024년에는 화성시 봉담 내 12개의 장소, 20여 팀의 아티스트가 참여하며, 한 장소마다 한 아티스트가 약 60분 동안 작은 라이브 콘서트를 진행한다. 대한민국공연예술제에 3년 연속 선정되었다.
[행사내용]
1. 메인프로그램 : 전야제-봉담호수공원에서 펼쳐지는 떠들썩한 콘서트
달달한콘서트: 몸과 마음으루 녹여주는 따뜻하고 설레는 국악앙상블
그윽한콘서트: 가을의 향기처럼 국악의 은은한 매력을 맛볼 수 있는 콘서트
수려한콘서트: 우리음악의 맛과 멋을 즐길 수 있는 현대적 감성의 콘서트

2. 소비자 참여 프로그램 : 스탬프이벤트(공연보고 도장찍고 경품받자!)"
세계음악극 페스티벌,2024.11.01 ~ 2024.11.03,전라남도 무안군 무안읍 창포로 8 무안승달문화예술회관,무료,"전남 무안군 출신 국창 강용환선생의 창작정신과 예술정신을 계승하기 위해 2024 세계음악극 페스티벌을 개최한다. 창극의 대중화와 세계화를 알리는 페스티벌로 세계 각국의 다양한 공연과 MZ세대 신진예술가의 창작작품, 공연개막을 알리는 창작공연, 무안출신 품바 연출자 김시라선생의 대를 잇는 전통 품바공연까지 다양한 공연을 관람할 수 있다.
[행사내용]
대표 프로그램
1) 공식행사 : 개막식, 폐막식(폐막공연)
2) 창제작 공연 : 미래를 위한 기억, 보통사람들(무안군민 참여)
3) 해외초청 공연 : 중국 경극, 몽골 전통 음악극, 스페인 플라멩코
4) 무안군 축하공연 : 무안 꿈의 오케스트라+연희팀+사물놀이팀
5) 공모사업 공연 : 신진예술인(팀) 8팀
6) 기타공연 : 무안품바‘날개잃은 천사’, 박한율 재즈
7) 이벤트 : SNS 홍보 이벤트, 무안군 관광지 방문이벤트"
영주장날 농특산물대축제,2024.11.01 ~ 2024.11.03,경상북도 영주시 한정로 126 (문정동) (시민운동장 앞),무료,"영주 사과축제가 새로운 모습으로 돌아온다. 전국 최고의 일조량과 소백산의 깊은 맛을 품은 영주 농특산물, 맛의 끝장, 그 깊은 세계로 모두를 초대한다. 시원한 가을 바람과 소백산의 정기를 머금은 영주 농특산물을 한아름 안아 갈 수 있는 특별한 기회이다. 영주장날 농특산물 축제에서 건강한 농특산물을 맛보며 스트레스를 한방에 해소할만한 맛의 극치를 느껴볼 수 있다.
[행사내용]
1. 대표 프로그램
개폐막식, 영주 농특산물 팜팜 판매장, 싱싱콘서트

2. 체험 프로그램
농특산물 홍보관, 쿠킹클래스, 영롱한 퍼포먼스, 농특산물 체험 및 이벤트

3. 판매장 일정
부석사 사과판매장: 10. 26.(토) ~ 11. 3.(일)"
예산황토사과축제,2024.11.01 ~ 2024.11.02,충청남도 예산군 예산읍 예산로 352,무료,"예산황토사과 101년 , 제21회 예산황토사과축제에서는 그동안의 역사와 전통을 바탕으로 새롭게 시작하는 예산황토사과의 100년을 기념하며 다양한 프로그램과 부대행사 등 예산황토사과를 홍보하는 즐거운 축제를 마련하였다.
[행사내용]
1. 메인프로그램 :사과농장에 온 뽀로로와 친구들, 예산황토사과 애플 페스타
2. 공연프로그램 : 개폐막식, 애플 락 페스티벌 등
3. 부대프로그램 : 사과따기 미션! 스탬프투어 체험, 사과콘텐츠 체험
4. 전시프로그램 : 제33회 예산황토사과·배품평회 전시, 사과품종전시 및 사진 전시"
울산축협 한우축제,2024.11.01 ~ 2024.11.03,울산광역시 남구 신정동 1513,무료,"제1회 울산축협 한우축제가 오는 11월 울산에서 개최될 예정이다. 이번 축제는 울산의 대표적인 농업 특산물인 한우를 주제로 한 대규모 행사로, 다양한 프로그램과 먹거리가 마련될 예정이다. 축제의 주요 프로그램으로는 한우 요리 체험, 다양한 공연, 지역 특산물 전시 및 판매 부스 등이 있으며, 방문객들은 고품질의 한우를 저렴한 가격에 맛보고 구매할 수 있는 기회를 얻게 될 것이다. 축제 기간 동안 한우와 관련된 다양한 체험 프로그램이 준비되어 있어 가족 단위 방문객들도 함께 즐길 수 있을 예정이다. 또한, 지역 농가에서 직접 기른 한우를 판매하는 행사도 진행되어 지역 경제 활성화에 기여한다. 이번 울산축협 한우축제는 한우의 우수성을 널리 알리고, 지역 주민과 관광객들에게 다양한 즐길 거리를 제공한다.
[행사내용]
1.개막식

2.무대 공연프로그램
- 개막식, 축하공연, 한우경매, 시민참여 노래자랑
- 상설 버스킹 공연 등

3.울산축협한우 우수성 홍보 프로그램
- 한우데이 캠페인 (울산축협한우 VS 수입산 비교)
- 울산축협한우 브랜드 홍보 및 할인 판매
- 울산축협한우 구이터 및 관람객 쉼터 운영
- 한우요리 비법교실 등

4. 참여?체험 프로그램
- 울산특산품 홍보관, 플리마켓 및 공예체험 프로그램
- 한우 레크레이션 등

5. 부대 편의 프로그램
- 푸드트럭, 키즈 놀이터 등"
월드판소리페스티벌,2024.11.01 ~ 2024.11.03,서울특별시 중구 퇴계로34길 28 (필동2가) 서울 남산골 한옥마을,무료,"월드판소리페스티벌은 한국의 전통성악인 판소리의 아름다움과 가치를 알리는 국제음악축제이다. 매년 가을 개최되는 이 축제는 전통 판소리 공연과 더불어 판소리를 모티브로 하는 대중음악, 무용, 연극 등 융합 예술 무대도 만나볼 수 있다. 또한, 시민과 외국인 대상 ’판소리 워크숍‘을 통해 무료로 판소리를 배워 볼 수 있는 프로그램도 준비되어 있으며, ’나만의 부채 만들기‘와 ’청사초롱 만들기‘ 등 다양한 시민 참여 프로그램도 경험할 수 있다. 월드판소리페스티벌은 판소리의 전통을 계승하면서도 현대적인 감각을 더해, 전 세계 관객들에게 새로운 문화적 경험을 제공하고 있다.
[행사내용]
대표 프로그램
1. (공연) 메인콘서트: 라이브 판소리
2. (공연) 판소리 버스킹: 어쿠스틱 브리즈 스테이지 / 일렉트로닉 블리츠 스테이지 / 하이브리드 드림 스테이지
3. (워크숍) 얼씨국학당: 시민 대상 / 외국인 대상
4. (체험) 나만의 부채 만들기 / K-Lantern Studio: 청사초롱"
전남 세계 김밥 페스티벌,2024.11.01 ~ 2024.11.03,서울특별시 영등포구 여의동로 330 (여의도동),무료,"2024 전남 세계 김밥 페스티벌은 전남 김의 우수성을 세계적으로 알리고, 전남지역의 수산물 등을 활용하여 세계인들도 즐길 수 있는 다양한 김밥을 표현, 전남 깁밥과 전남 수산물을 알리는 축제이다.올해 1회째를 맞이하는 이번 축제는 전남의 22개 도시군의 특산물을 활용한 특화 김밥을 맛볼 수 있으며, 김밥 경연대회, 라이브 경매쇼,라이브 토크쇼 등 다양한 무대 프로그램과 김 뜨기, 김 시식, 아트 김밥 만들기 등 다양한 체험 프로그램으로 관광객들의 이목을 끌 예정이다.
[행사내용]
1. 무대행사
- 식전공연 / 개막식 / 축하공연 / 김밥 경연대회 / 라이브 경매쇼 / 라이브 토크쇼 / 단짠콘서트

2. 부대행사
- 특화김밥시식 / 특화김밥커스텀체험 / 자이언트김밥전시 / 세계 김 역시 전시관 / 김 뜨기 체험관 / 김 뷔페 시식코너 / 아트 김밥 클래스 / 올라잇 플리마켓 / 오케!전남편의점 / 천일염 오락존 등"
